page,name,school,org_type,category_hint,active,notes
https://www.facebook.com/nthumaterial/,清大材料系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學材料系學會」
https://www.facebook.com/QingDaHuaGongXiXueHui/,清大化學工程系系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學化學工程系系學會」
https://www.facebook.com/DSPMTSA/,清大科技管理學院學士班系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學科技管理學院學士班系學會」
https://www.facebook.com/nthuclssa/,清大生命科學暨醫學院院學會,nthu,department,自治,true,對應名冊「生科系會」；FB 專頁「國立清華大學生命科學暨醫學院院學會」，另有官網 nthuclssa.wixsite.com
https://www.facebook.com/nthugrad/,清大畢業生聯誼會,nthu,official,自治,true,搜尋結果顯示 FB 專頁「清大畢聯會」（nthugrad）
https://www.facebook.com/nthugsa26/,清大畢業生聯誼會26級,nthu,official,自治,true,搜尋結果顯示 FB 專頁「清大畢業生聯誼會26級」；屆別帳號
https://www.facebook.com/nthufllsa/,清大外語系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「清大外語系學會」（DFLLSA）
https://www.facebook.com/NTHUKIPE/,清大竹師教育學院學士班系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學竹師教育學院學士班系學會」
https://www.facebook.com/NTHUibp/,清大清華學院國際學士班,nthu,department,自治,true,FB 專頁「國立清華大學清華學院國際學士班」；學會或班辦經營 unverified
https://www.facebook.com/nthuipns/,清大原子科學院學士班,nthu,department,自治,true,FB 專頁「清大原子科學院學士班 IPNS」；班官方頁面，系學會經營與否 unverified
https://www.facebook.com/nthuundeclared/,清大清華學院學士班,nthu,department,自治,true,FB 專頁「國立清華大學清華學院學士班」（nthuundeclared）；班官方頁面 unverified
https://www.facebook.com/pages/category/Performing-Arts/%E9%99%BD%E6%98%8E%E5%A4%A7%E5%AD%B8-%E8%88%9E%E5%8F%B0%E6%95%88%E6%9E%9C%E8%97%9D%E8%A1%93%E7%A4%BE-338307860052384/,陽明舞臺效果藝術社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連;舊式FB頁面(陽明大學-舞台效果藝術社)可能停更 unverified;陽明校區
nymuic,陽明烘焙研究社,nycu,club,學藝性社團,true,NYCU官方社團連結頁對應此FB;handle疑沿用陽明大學舊帳號 unverified;陽明校區
ympianoclub,陽明鋼琴社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB(陽明大學鋼琴社);陽明校區
aisingorchestra,陽明愛杏管弦樂團,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
hsienchihchineseorchestra,陽明咸池國樂社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
YMUHarmonica,陽明口琴社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
nctufire,交大火舞社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;搜尋另見同名FB專頁(2400+讚);光復校區
nctuclubcake,交大蛋糕社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nycu.rubikscube.club,交大魔術方塊社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctuwb,交大管樂團,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
NCTUChan,交大達磨禪學社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctu.finart,交大美術社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctumixology,交大飲料調製社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctucalligraphyclub,交大書法社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
Makereal.Labs,交大創客俱樂部,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
NCTUComicClub,交大漫畫社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctuanime,交大動畫社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctuceramic,交大陶藝社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
NCTUDMCC,交大數位音樂創作社,nycu,club,音樂戲劇性社團,true,Brave搜尋見facebook.com/NCTUDMCC;官方連結頁另列官網nctudmcc.weebly.com;光復校區
ilovenctucmc,交大國樂社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctuchorus,交大友聲合唱團,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctupdcfans,交大布袋戲社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctuPIANO,交大鋼琴社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
nctumgc,交大音樂遊戲社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;光復校區
NCTUCCC,交大象棋社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;光復校區
NctuCyFamily,交大中友會（中部地區校友會）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
NCTUKGA,交大高雄屏東校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
nctu.trans,交大轉學生聯誼會,nycu,club,綜合性社團,true,linktr.ee/tsc.nycu 內含 FB；光復校區
nycuisag,陽明國際大使團112（ISAG）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
ChiayiYunlin,交大嘉義雲林校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
TaoYoWuYo,交大桃園地區友好會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
nctufcs,交大附中山校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
NCTU.TN,交大臺南地區校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
NCTUBYsummercamp.alwaysbewithyou,交大北區校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出，頁名似為北友返鄉營隊粉專；光復校區；unverified
YangMingIf,陽明勵青社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
YMCrusade,陽明十字軍社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
lifecareclub,陽明關懷生命社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
nycu.chingeuo,陽明交通大學青少年幼兒服務社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
nctuclubtzuchi,交大慈濟青年社,nycu,club,服務性社團,true,學務處社團介紹頁列出；光復校區
nycusanfupower,交大Smrangi山福團,nycu,club,服務性社團,true,學務處社團介紹頁列出；光復校區
NYCUCDYV,交大崇德青年志工社,nycu,club,服務性社團,true,學務處社團介紹頁列出；光復校區
nycuhellolove,陽明愛呀，你好！社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
nymubaseball,陽明棒球社（國立陽明交通大學棒球社）,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
YMSTteam,陽明軟式網球社,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
https://www.facebook.com/%E9%99%BD%E6%98%8E%E7%A1%AC%E7%B6%B2%E7%A4%BE-YM-Tennis-100316179065253/,陽明硬式網球社,nycu,club,體能性社團,true,學務處社團介紹頁列出（另有社團 groups/ymtennisclub）；陽明校區
YMswimmingclub,陽明游泳社,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
ym.archery,陽明射箭社（國立陽明交通大學射箭社陽明分部）,nycu,club,體能性社團,true,學務處社團介紹頁列出；陽明校區
nycu.gtt,交大女桌社,nycu,club,體能性社團,true,學務處社團介紹頁列出；光復校區
werideourlife2015,交大單車社,nycu,club,體能性社團,true,學務處社團介紹頁列出；光復校區
JiaoTongDaXueTaiQuanDao,交大跆拳社,nycu,club,體能性社團,true,學務處社團介紹頁列出；光復校區
NYCUcheer,陽明交大競技啦啦隊,nycu,club,體能性社團,true,學務處社團介紹頁列出；光復校區
NYCU.Yoga,交大瑜珈社,nycu,club,體能性社團,true,搜尋結果佐證（FB 粉專「交大瑜珈社(Nycu Yoga)」）；學務處頁另列舊粉專 558704051322587；光復校區
NCTUArchery,交大射箭社,nycu,club,體能性社團,true,學務處社團介紹頁列出；光復校區
NycuVulpesRacing,陽明交大青年方程式賽車隊（NYCU Vulpes Racing）,nycu,club,任務性社團,true,學務處社團介紹頁列出；光復校區
NYCUPCCA,交大程式競賽社（NYCU PCCA）,nycu,club,任務性社團,true,搜尋結果佐證（FB 頁 @NYCUPCCA）；學務處頁列舊網址 NCTUPCCA，粉專應已改名；光復校區
nctuisa,交大國際學生協會（NYCU ISA）,nycu,club,任務性社團,true,學務處社團介紹頁列出；光復校區
nycu.meichu,交大梅竹後援會,nycu,club,任務性社團,true,學務處社團介紹頁列出；光復校區
https://www.facebook.com/NYCUCTSC/,交大學生議會（陽明交大學生會-交通分會）,nycu,official,學生會,true,搜尋結果確認；官網 nycuctsc.com 目前無法連線
https://www.facebook.com/nycubwy/,陽明交大福智青年社,nycu,club,學術性社團,true,FB 粉專搜尋結果確認
https://www.facebook.com/koinoniahsinchu/,Koinonia Hsinchu 清交柏克萊學生團契,nycu,club,學術性社團,true,清交聯合團契
https://www.facebook.com/nycuic2021/,陽明交通大學投資理財社,nycu,club,學術性社團,true,FB 粉專「NYCU Investment Club」搜尋結果確認
https://www.facebook.com/282560961848806,交大天文社 NCTU Astronomy Club,nycu,club,學術性社團,true,unverified：據 schoolandcollegelistings 鏡像之 FB 專頁 ID，可能已停更
https://www.facebook.com/IMFNCTU/,國立交通大學資財系,nycu,department,學生自治組織,true,unverified：頁名為「資財系」，可能為系方粉專而非系學會
https://www.facebook.com/NYCUTLM/,交大運管系學會,nycu,department,學生自治組織,true,搜尋結果確認
https://www.facebook.com/nctudbtsu/,交大生物科技系系學會,nycu,department,學生自治組織,true,搜尋結果確認：「交大生技系是你的第二個家」
https://www.facebook.com/NYCUFL/,交大外文系學會,nycu,department,學生自治組織,true,搜尋結果確認；另有粉絲團 NYCUFLofficial
https://www.facebook.com/nctuac108/,國立交通大學應用化學系系學會,nycu,department,學生自治組織,true,linktr.ee/nycudac 佐證
nthuacc,清大原住民文化社,nthu,club,服務性A,true,課外組服務性社團名錄連出；近期更新狀態未確認
blisswisdom.nthu,清大福智青年社,nthu,club,服務性A,true,課外組名錄仍列名；粉專更新狀態未確認
NTHUScienceServiceClub,清大科學服務社,nthu,club,服務性A,true,1972年創社最老服務性社團；2026暑期科學營仍在辦；官網 nthussc.wixsite.com/home
NTHUWHYOU,清大懷幼社,nthu,club,服務性A,true,搜尋結果佐證「清大 懷幼 WHYOU」粉專
NTHU.ERSA,清大親善大使團,nthu,club,服務性A,true,清華紫荊大使(ERSA) 粉專
NTHUCDYoungVolunteers,清大崇德青年志工社,nthu,club,服務性A,true,課外組名錄連出；可能低度更新
nthufic,清大理財投資研習社,nthu,club,學術性A,true,課外組社團介紹頁指向此粉專；IG 未找到
https://www.facebook.com/pages/category/Community/%E6%B8%85%E8%8F%AF%E5%95%86%E6%A5%AD%E7%A0%94%E7%A9%B6%E7%A4%BE-NTHU-Business-Club-819069725153099/,清大商業研究社,nthu,club,學術性A,true,粉專無自訂 username(Page ID 819069725153099)；linktr.ee/businessclub.nthu；2026課外組公告評鑑丁等予以解散、疑似停更
nthu.acgacademic,清大ACG蔓延社,nthu,club,學術性A,true,2025社刊仍出刊；IG 未找到
NTHU.iGEM,清大iGEM基因工程研究社,nthu,club,學術性A,true,iGEM NTHU Taiwan 粉專
NTHUCG,清大管理顧問社,nthu,club,學術性A,true,粉專 username nthucg
https://www.facebook.com/p/NTHU-Data-Science-Club-%E6%B8%85%E5%A4%A7%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E7%A4%BE-61557758195549/,清大資料科學社,nthu,club,學術性A,true,粉專無自訂 username(Page ID 61557758195549)
HPNTHU2022,清大霍特獎社,nthu,club,學術性A,true,Hult Prize at NTHU 粉專
meichuwin,清大梅竹工作會,nthu,club,功能性,true,梅竹工作會粉專
nthutzuchi,清大慈濟青年社,nthu,club,服務性B,true,清大慈青官網聯絡頁連出；佐證較舊、unverified 更新狀態
nthueduequ,清大課輔志工社,nthu,club,服務性B,true,課外組服務性社團頁連出；更新狀態未確認
nthu.rover,清大羅浮童子軍群,nthu,club,服務性B,true,2025創團五十週年活動、仍運作
NthuCarelife,清大關懷生命社,nthu,club,服務性B,true,同名粉專
unlocklabshop,清大夢想方程式社,nthu,club,學術性B,true,unverified：課外組官方社團頁連出的帳號、但頁名與社名不符
CIE.at.NTHU,清大中國工程師學會清華分會,nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
nthunatureclub,清大自然保育社,nthu,club,學術性B,true,課外組社團頁連出；2025評鑑優等
NTHUKorea,清大韓語交流文化學習社,nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
nthuleadership,清大青年領袖研習社,nthu,club,學術性B,true,課外組學術性社團頁連出
NTHUSRchan,清大禪學社(南大),nthu,club,學術性B,true,課外組學術性社團頁連出；更新狀態未確認
NYCUIEC,交大創新創業社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連；FB專頁名「陽明交大創創社NYCU Innovation and Entrepreneurship Club」；光復校區
nctufhl,交大信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁直連www.facebook.com/nctufhl；官方連結頁另連公開社團groups/nctufhl；光復校區
https://www.facebook.com/YM.LifeScience,陽明生科系學會（生命科學系系學會）,nycu,department,學生自治組織,true,學務處院系所學會列表直連(YMLS)；FB頁名「YMLS 國立陽明大學生命科學系暨基因體科學研究所」與系學會共用；陽明校區
YangMing.FaithHopeLove,陽明信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連此粉專；陽明校區
nycu.hymntruth,陽明詩歌真理社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連此粉專；陽明校區
YMchinesemedicine,陽明中國傳統醫學研究社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連；FB專頁名「陽明中醫社」(889讚)；陽明校區
https://www.facebook.com/NYCU-%E7%B2%B5%E8%AA%9E%E6%96%87%E5%8C%96%E7%A0%94%E7%A9%B6%E7%A4%BE-105192498918708,陽明粵語文化研究社,nycu,club,學術性社團,true,unverified：學務處學術性社團列表直連此FB專頁(舊式頁名URL、未另行驗證存活)；陽明校區
https://www.facebook.com/YM.PTATSA/,陽明物治系學會（物理治療暨輔助科技學系系學會）,nycu,department,學生自治組織,true,學務處院系所學會列表與官方連結頁均直連此粉專；陽明校區
